song_id;Year;Order;Country;Singer;Title;Points;Place;in_english;songid;lovementions;population
726;1996;2;United Kingdom;Gina G;Ooh Aah ... Just A Little Bit;77;8;TRUE;726;7;66020000
727;1996;3;Spain;Antonio Carbonell;Ay! Que Deseo!;17;20;FALSE;727;1;46570000
728;1996;4;Portugal;Lúcia Moniz;O Meu Caração Nao Tem Cor;92;6;FALSE;728;0;10310000
729;1996;5;Cyprus;Constantinos / Κωνσταντίνος;Mono Gia Mas / Μόνο για μας;72;9;FALSE;729;1;1180000
730;1996;6;Malta;Miriam Christine;In A Woman's Heart;68;10;TRUE;730;2;460297
731;1996;7;Croatia;Maja Blagdan;Sveta Ljubav;98;4;FALSE;731;9;4480000
732;1996;8;Austria;George Nussbaumer;Weil's Dr Guat Got;68;11;FALSE;732;0;8773000
733;1996;9;Switzerland;Kathy Leander;Mon Cœur L'aime;22;17;FALSE;733;5;8420000
734;1996;10;Greece;Mariana Efstratiou / Μαριάνα Ευστρατίου;Emis Forame Ton Himona Anixatika / Εμείς φοράμε το χειμώνα ανοιξιάτικα;36;14;FALSE;734;1;10770000
735;1996;11;Estonia;Ivo Linna & Maarja-Liis Ilus;Kaelakee Hääl;94;5;FALSE;735;0;1316000
736;1996;12;Norway;Elisabeth Andreasson;I Evighet;114;2;FALSE;736;1;5258000
737;1996;13;France;Dan Ar Braz and L'Héritage des Celtes;Diwanit Bugale;18;19;FALSE;737;0;67120000
738;1996;14;Slovenia;Regina;Dan Najlepših Sanj;16;21;FALSE;738;10;1990000
739;1996;15;Netherlands;Maxine & Franklin Brown;De Eerste Keer;78;7;FALSE;739;2;17000000
740;1996;16;Belgium;Lisa del Bo;Liefde Is Een Kaartspel;22;16;FALSE;740;0;11350000
741;1996;17;Ireland;Eimear Quinn ;The Voice;162;1;TRUE;741;0;4784000
742;1996;18;Finland;Jasmine;Niin Kaunis On Taivas;9;23;FALSE;742;2;5503000
743;1996;19;Iceland;Anna Mjöll;Sjúbidu;51;13;FALSE;743;0;338349
744;1996;20;Poland;Kasia Kowalska;Chce Znac Swoj Grzech;31;15;FALSE;744;1;37970000
745;1996;21;Bosnia-Herzegovina;Amila Glamočak;Za Našu Ljubav;13;22;FALSE;745;5;3880000
746;1996;22;Slovakia;Marcel Palonder;Kým Nás Máš;19;18;FALSE;746;5;5435000
747;1996;23;Sweden;One More Time;Den Vilda;100;3;FALSE;747;0;9995000
748;1997;1;Cyprus;Chara & Andreas Konstantinou / Χαρά & Ανδρέας Κωνσταντίνου;Mana Mou / Μάνα μου;98;5;FALSE;748;0;1180000
749;1997;2;Turkey;Sebnem Paker& Etnic grup;Dinle;121;3;FALSE;749;12;79810000
750;1997;3;Norway;Tor Endresen;San Francisco;0;23;FALSE;750;12;5258000
751;1997;4;Austria;Bettina Soriat;One Step;12;21;FALSE;751;0;8773000
752;1997;5;Ireland;Marc Roberts;Mysterious Woman;157;2;TRUE;752;0;4784000
753;1997;6;Slovenia;Tanja Ribič;Zbudi Se;60;10;FALSE;753;1;1990000
754;1997;7;Switzerland;Barbara Berta;Dentro Di Me;5;23;FALSE;754;0;8420000
755;1997;8;Netherlands;Mrs. Einstein;Niemand Heeft Nog Tijd;5;22;FALSE;755;0;17000000
756;1997;9;Italy;Jalisse;Fiumi Di Parole;114;4;FALSE;756;0;60590000
757;1997;10;Spain;Marcos LLunas;Sin Rencor;96;6;FALSE;757;8;46570000
758;1997;11;Germany;Bianca Shomburg;Zeit;22;19;FALSE;758;0;82790000
759;1997;12;Poland;Anna Maria Jopek;Ale Jestem;54;11;FALSE;759;1;37970000
760;1997;13;Estonia;Maarja-Liis Ilus;Keelatud Maa;82;8;FALSE;760;0;1316000
761;1997;14;Bosnia-Herzegovina;Alma Čardžić;Goodbye;22;18;FALSE;761;8;3880000
762;1997;15;Portugal;Celia Lawson;Antes Do Adeus;0;23;FALSE;762;1;10310000
763;1997;16;Sweden;Blond;Bara Hon Alskar Moj;36;14;FALSE;763;12;9995000
764;1997;17;Greece;Marianna Zorba / Μαριάννα Ζορμπά;Horepse / Χόρεψε;39;12;FALSE;764;0;10770000
765;1997;18;Malta;Debbie Scerri;Let Me Fly;66;9;TRUE;765;0;460297
766;1997;19;Hungary;VIP;Miért Kell, Hogy Elmenj?;39;13;FALSE;766;0;9781000
767;1997;20;Russia;Alla Pugachova / Алла Пугачева;Primadonna / Примадонна;33;15;FALSE;767;0;144500000
768;1997;21;Denmark;Kølig Kaj;Stemmen I Mit Liv;25;16;FALSE;768;1;5770000
769;1997;22;France;Fanny;Sentiments Songes;95;7;FALSE;769;3;67120000
770;1997;23;Croatia;ENI;Probudi Mi;24;17;FALSE;770;3;4480000
771;1997;24;United Kingdom;Katrina & the Waves ;Love Shine A Light;227;1;TRUE;771;12;66020000
772;1997;25;Iceland;Paul Oscar;Minn Hinsti Dans;18;20;FALSE;772;3;338349
773;1998;1;Croatia;Danijela;Neke Mi Ne Svane;131;5;FALSE;773;0;4480000
774;1998;2;Greece;Thalassa / Θάλασσα;Mia Krifi Evesthisia / Μια κρυφή ευαισθησία;12;20;FALSE;774;0;10770000
775;1998;3;France;Marie-Line;Où Aller;3;24;FALSE;775;0;67120000
776;1998;4;Spain;Mikel Herzog;Que Voy A Hacer Sin Ti?;21;16;FALSE;776;3;46570000
777;1998;5;Switzerland;Gunvor;Lass Ihn;0;24;FALSE;777;0;8420000
778;1998;6;Slovakia;Katarína Hasprová;Modlitba;8;21;FALSE;778;7;5435000
779;1998;7;Poland;Sixteen;To Takie Proste;19;17;FALSE;779;0;37970000
780;1998;8;Israel;Dana International / דנה אינטרנשיונל ;Diva / דיווה;172;1;FALSE;780;2;8712000
781;1998;9;Germany;Guildo Horn;Guildo Hat Euch Lieb;86;7;FALSE;781;16;82790000
782;1998;10;Malta;Chiara;The One That I Love;165;3;TRUE;782;12;460297
783;1998;11;Hungary;Charlie;A Holnap Már Nem Lesz Szomorú;4;23;FALSE;783;0;9781000
784;1998;12;Slovenia;Vili Resnik;Naj Bogovi Slišijo;17;18;FALSE;784;2;1990000
785;1998;13;Ireland;Dawn;Is Always Over Now;64;9;TRUE;785;5;4784000
786;1998;14;Portugal;Alma Lusa;Se Eu Te Pudesse Abraçar;36;13;FALSE;786;0;10310000
787;1998;15;Romania;Malina Olinescu;Eu Cred;6;22;FALSE;787;0;19640000
788;1998;16;United Kingdom;Imaani;Where Are You?;166;2;TRUE;788;0;66020000
789;1998;17;Cyprus;Michael Hajiyanni / Μ. Χατζηγιάννης;Genesis / Γένεσης;37;11;FALSE;789;1;1180000
790;1998;18;Netherlands;Edsilia Rombley;Hemel En Aarde;150;4;FALSE;790;2;17000000
791;1998;19;Sweden;Jill Johnson;Kärleken Är;53;10;FALSE;791;1;9995000
792;1998;20;Belgium;Mélanie Cohl;Dis Oui;122;6;FALSE;792;2;11350000
793;1998;21;Finland;Edea;Aava;22;15;FALSE;793;0;5503000
794;1998;22;Norway;Lars A. Fredriksen;Alltid Sommer;79;8;FALSE;794;2;5258000
795;1998;23;Estonia;Koit Toome;Mere Lapsed;36;12;FALSE;795;0;1316000
796;1998;24;Turkey;Tüzmen;Unutamazsin;25;14;FALSE;796;1;79810000
797;1998;25;Macedonia;Vlado Janevski / Владо Јаневски;Ne Zori, Zoro / не зори, зоро;16;19;FALSE;797;1;2090000
798;1999;1;Lithuania;Aiste Smilgeviciute;Strazdas;13;20;FALSE;798;0;2848000
799;1999;2;Belgium;Vanessa Chinitor;Like The Wind;38;12;TRUE;799;0;11350000
800;1999;3;Spain;Lydia;No Quiero Escucharte;1;23;FALSE;800;3;46570000
801;1999;4;Croatia;Doris Dragovic;Marija Magdalena;118;4;FALSE;801;1;4480000
802;1999;5;United Kingdom;Precious;Say It Again;38;13;TRUE;802;0;66020000
803;1999;6;Slovenia;Darja Švajger;For A Thousand Years;50;11;TRUE;803;4;1990000
804;1999;7;Turkey;Tuba Önal & grup Mystik;Dön Artik;21;16;FALSE;804;11;79810000
805;1999;8;Norway;Stig André van Eijk;Living My Life Without You;35;14;TRUE;805;1;5258000
806;1999;9;Denmark;Michael Teschl & Trine Jepsen;This Time I Mean It;71;8;TRUE;806;5;5770000
807;1999;10;France;Nayah;Je Veux Donner Ma Voix;14;19;FALSE;807;3;67120000
808;1999;11;Netherlands;Marlayne;One Good Reason;71;9;TRUE;808;10;17000000
809;1999;12;Poland;Mieczyslaw Szczesniak;Przytul Mnie Mocno;17;18;FALSE;809;0;37970000
810;1999;13;Iceland;Selma Björnsdóttir;All Out Of Luck;146;2;TRUE;810;5;338349
811;1999;14;Cyprus;Marlain Angelidou / Μαρλαίν Αγγελίδου;Thane Erotas / Θά ναι έρωτας;2;22;FALSE;811;8;1180000
812;1999;15;Sweden;Charlotte Nilsson ;Take Me To Your Heaven;163;1;TRUE;812;2;9995000
813;1999;16;Portugal;Rui Bandeira;Como Tudo Começou;12;21;FALSE;813;0;10310000
814;1999;17;Ireland;The Mullans;When You Need Me;18;17;TRUE;814;1;4784000
815;1999;18;Austria;Bobbie Singer;Reflection;65;10;TRUE;815;0;8773000
816;1999;19;Israel;Eden / עדן;Happy Birthday / יום הולדת;93;5;TRUE;816;0;8712000
817;1999;20;Malta;Times 3;Believe 'n' Peace;32;15;TRUE;817;5;460297
818;1999;21;Germany;Sürpriz;Reise Nach Jerusalem;140;3;TRUE;818;0;82790000
819;1999;22;Bosnia-Herzegovina;Dino & Beatrice;Putnici;86;7;FALSE;819;0;3880000
820;1999;23;Estonia;Evelin Samuel & Camille;Diamond Of Night;90;6;TRUE;820;0;1316000
821;2000;1;Israel;Ping Pong / פינג-פונג;Sa'me'akh / שמייח;7;22;FALSE;821;1;8712000
822;2000;2;Netherlands;Linda Wagenmakers;No Goodbyes;40;13;TRUE;822;1;17000000
823;2000;3;United Kingdom;Nicki French;Don't Play That Song Again;28;16;TRUE;823;1;66020000
824;2000;4;Estonia;Ines;Once In A Lifetime;98;4;TRUE;824;0;1316000
825;2000;5;France;Sofia Mestari;On Aura Le Ciel;5;23;FALSE;825;0;67120000
826;2000;6;Romania;Taxi;The Moon;25;17;TRUE;826;4;19640000
827;2000;7;Malta;Claudette Pace;Desire;73;8;TRUE;827;9;460297
828;2000;8;Norway;Charmed;My Heart Goes Boom;57;11;TRUE;828;0;5258000
829;2000;9;Russia;Alsou / Алсу;Solo;155;2;TRUE;829;0;144500000
830;2000;10;Belgium;Nathalie Sorce;Envie De Vivre;2;24;FALSE;830;7;11350000
831;2000;11;Cyprus;Voice;Nomiza / Νόμιζα;8;21;FALSE;831;4;1180000
832;2000;12;Iceland;Einar Ágúst Viðisson & Telma Áugústdóttir;Tell Me;45;12;TRUE;832;1;338349
833;2000;13;Spain;Serafin Zubiri;Colgado De Un Sueño;18;18;FALSE;833;0;46570000
834;2000;14;Denmark;Olsen Brothers ;Fly On The Wings Of Love;195;1;TRUE;834;13;5770000
835;2000;15;Germany;Stefan Raab;Wadde Hadde Dudde Da?;96;5;FALSE;835;0;82790000
836;2000;16;Switzerland;Jane Bogaert;La Vita Cos'è;14;20;FALSE;836;5;8420000
837;2000;17;Croatia;Goran Karan;Kada Zaspu Anðeli;70;9;FALSE;837;3;4480000
838;2000;18;Sweden;Roger Pontare;When Spirits Are Calling My Name;88;7;TRUE;838;0;9995000
839;2000;19;Macedonia;XXL;100% Te Ljubam / 100% те љубам;29;15;TRUE;839;20;2090000
840;2000;20;Finland;Nina Åström;A Little Bit;18;19;TRUE;840;16;5503000
841;2000;21;Latvia;BrainStorm;My Star;136;3;TRUE;841;1;1950000
842;2000;22;Turkey;Pinar Ayhan & the S.O.S. band;Yorgunum Anta;59;10;TRUE;842;4;79810000
843;2000;23;Ireland;Eamonn Toal;Millenium Of Love;92;6;TRUE;843;4;4784000
844;2000;24;Austria;The Rounder girls;All To You;34;14;TRUE;844;1;8773000
845;2001;1;Netherlands;Michelle;Out On My Own;16;19;TRUE;845;0;17000000
846;2001;2;Iceland;Two Tricky;Angel;3;23;TRUE;846;1;338349
847;2001;3;Bosnia-Herzegovina;Nino;Hano;29;14;TRUE;847;4;3880000
848;2001;4;Norway;Haldor Lægreid;On My Own;3;22;TRUE;848;0;5258000
849;2001;5;Israel;Tal Sondak / טל סונדק;Ein Davar / אין דבר;25;16;FALSE;849;1;8712000
